iter	Logloss
0	0.6632591116
1	0.6236295713
2	0.5941897607
3	0.5692109104
4	0.5465730346
5	0.5290426273
6	0.5127859726
7	0.4993513629
8	0.4895237307
9	0.4805177418
10	0.4724827623
11	0.4679575755
12	0.4616236922
13	0.4566523183
14	0.4522139552
15	0.4493120091
16	0.445600841
17	0.4435328809
18	0.4423223762
19	0.4415516669
20	0.4404967081
21	0.4394619596
22	0.4374900044
23	0.4364781916
24	0.4353375253
25	0.4350751525
26	0.4329729809
27	0.4306953667
28	0.4293916837
29	0.4285882452
30	0.4276740985
31	0.4269059942
32	0.4249294626
33	0.4240172464
34	0.4236852979
35	0.4225938066
36	0.422254845
37	0.4209014931
38	0.4205355689
39	0.4198660061
40	0.4186694816
41	0.4185929424
42	0.4180506004
43	0.417516437
44	0.4168781226
45	0.4155587867
46	0.4155296013
47	0.4148220944
48	0.4142280562
49	0.4138998921
50	0.412776775
51	0.4126789455
52	0.4122931581
53	0.4118654454
54	0.4112197492
55	0.4112036475
56	0.4111362675
57	0.4110215285
58	0.410771692
59	0.4101766626
60	0.4099728504
61	0.4097435862
62	0.4081550079
63	0.4078614443
64	0.4073679059
65	0.4072664703
66	0.4069913391
67	0.4066598401
68	0.4059480296
69	0.4058749005
70	0.4052423038
71	0.4051570078
72	0.4049789714
73	0.4048117005
74	0.4039029912
75	0.4034328056
76	0.4030968038
77	0.40180509
78	0.4011766758
79	0.4008264354
80	0.4008252914
81	0.4007871116
82	0.3999222023
83	0.3997918515
84	0.3988014657
85	0.3981546911
86	0.3972548308
87	0.3964860456
88	0.3959891272
89	0.3954197255
90	0.3951404509
91	0.3946899526
92	0.3939554928
93	0.3931731959
94	0.392625059
95	0.3921000957
96	0.3915392017
97	0.3910020374
98	0.3899743328
99	0.3895132253
100	0.3880350182
101	0.3875344081
102	0.3865444791
103	0.3852003952
104	0.3846512612
105	0.3836341817
106	0.3831435824
107	0.3829707174
108	0.3824867042
109	0.3820527678
110	0.3815061502
111	0.3804017745
112	0.3793616993
113	0.3789001789
114	0.378744377
115	0.3784160819
116	0.3769431622
117	0.3765211332
118	0.3759698748
119	0.3752517557
120	0.3747364245
121	0.3745434357
122	0.3742497748
123	0.3738525253
124	0.3734947784
125	0.3725172421
126	0.3724116251
127	0.3721080523
128	0.3716804562
129	0.3713201018
130	0.3708466808
131	0.3704636259
132	0.3696712533
133	0.3692251623
134	0.3691064882
135	0.3678075643
136	0.3668546025
137	0.3665466115
138	0.3661447691
139	0.3658092496
140	0.3655548426
141	0.3654002115
142	0.3649789419
143	0.3639013499
144	0.3633134382
145	0.3630058814
146	0.3627251607
147	0.362355601
148	0.3621048165
149	0.361876988
150	0.3616101562
151	0.3613572958
152	0.3602936514
153	0.3600153154
154	0.3599789949
155	0.3597990549
156	0.3591333265
157	0.3588883448
158	0.358511747
159	0.3581862276
160	0.3572950968
161	0.3569384188
162	0.3567219145
163	0.356492811
164	0.3562517435
165	0.3554661209
166	0.3553200207
167	0.3551794442
168	0.3544523914
169	0.3533337504
170	0.3529913213
171	0.3525499872
172	0.3516857129
173	0.3508314644
174	0.3507126189
175	0.3503592478
176	0.350025
177	0.3495888217
178	0.3491922769
179	0.3491076088
180	0.3488649328
181	0.3483744236
182	0.3480544222
183	0.3476291589
184	0.3474335814
185	0.3470596465
186	0.3469332781
187	0.3462844419
188	0.3458647997
189	0.3455732051
190	0.345285117
191	0.3452359592
192	0.3448497307
193	0.3443399683
194	0.3437869339
195	0.3435081696
196	0.3432986459
197	0.3431121828
198	0.3429431939
199	0.3428486917
200	0.3422929398
201	0.3418108447
202	0.3417170607
203	0.3409621904
204	0.3407503661
205	0.3404482206
206	0.340093889
207	0.3398815768
208	0.3394523892
209	0.3389303666
210	0.3386348107
211	0.3384628487
212	0.3383812382
213	0.3381810361
214	0.3376375764
215	0.337209133
216	0.3371434551
217	0.3370941958
218	0.3364821744
219	0.3362770861
220	0.3358773844
221	0.3352993974
222	0.3352062644
223	0.3350350493
224	0.3348622519
225	0.3342056
226	0.3336623747
227	0.3331472145
228	0.3328395274
229	0.3326248934
230	0.3325194804
231	0.3320089384
232	0.3318008665
233	0.3313908062
234	0.3313170046
235	0.331159895
236	0.3309833435
237	0.3307700476
238	0.3305804866
239	0.3303843332
240	0.3302112754
241	0.3299028796
242	0.3297655016
243	0.3295442084
244	0.3293613002
245	0.3292691293
246	0.3291002869
247	0.3289252597
248	0.328747069
249	0.3287032443
250	0.3283344653
251	0.3281706626
252	0.3277478739
253	0.3275404988
254	0.3274039459
255	0.3270709668
256	0.3267261472
257	0.3263831
258	0.3260881883
259	0.325812767
260	0.3257811521
261	0.3257209731
262	0.3255072047
263	0.3254269702
264	0.3250799162
265	0.3249282415
266	0.3248378846
267	0.3246899723
268	0.3242893028
269	0.3241323464
270	0.3240790852
271	0.3240004014
272	0.3235380244
273	0.3234081047
274	0.3232731992
275	0.3231544383
276	0.3228598472
277	0.3227669118
278	0.3225452523
279	0.3222292913
280	0.3221018732
281	0.3220652521
282	0.3219241961
283	0.3216553442
284	0.3214243734
285	0.3213962888
286	0.321285237
287	0.3211552423
288	0.3210049233
289	0.3208117233
290	0.3206743771
291	0.320180762
292	0.3200535933
293	0.3199089839
294	0.3196528974
295	0.319481115
296	0.3194405451
297	0.3192842435
298	0.3191744619
299	0.3188829502
